Path,Owners,Online?,PS (2p0E34),Datasets (SmartPS),Streams,L1T Seed
DST_PFScouting_DoubleMuonNoVtx_v2,HLT-Scouting,Yes,1,ScoutingPFRun3,ScoutingPF,L1_DoubleMu_12_5 OR L1_DoubleMu_15_7 OR L1_DoubleMu4p5er2p0_SQ_OS_Mass_Min7 OR L1_DoubleMu4p5er2p0_SQ_OS_Mass_7to18 OR L1_DoubleMu8_SQ OR L1_DoubleMu0er1p4_SQ_OS_dEta_Max1p2 OR L1_DoubleMu4er2p0_SQ_OS_dR_Max1p6 OR L1_DoubleMu5_SQ_OS_dR_Max1p6 OR L1_DoubleMu3er2p0_SQ_OS_dR_Max1p6 OR L1_DoubleMu0er1p5_SQ_OS_dEta_Max1p2 OR L1_DoubleMu0er1p4_OQ_OS_dEta_Max1p6 OR L1_DoubleMu0er2p0_SQ_OS_dEta_Max1p5 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2 OR L1_DoubleMu4_SQ_OS_dR_Max1p2 OR L1_DoubleMu0_Upt15_Upt7 OR L1_DoubleMu0_Upt6_IP_Min1_Upt4 OR L1_DoubleMu0_Upt6_SQ_er2p0 OR L1_DoubleMu0_Upt7_SQ_er2p0 OR L1_DoubleMu0_Upt8_SQ_er2p0 OR L1_DoubleMu0er2p0_SQ_dEta_Max1p6 OR L1_DoubleMu0er2p0_SQ_dEta_Max1p5
DST_PFScouting_DoubleMuonVtx_v2,HLT-Scouting,Yes,1,ScoutingPFRun3,ScoutingPF,L1_DoubleMu_12_5 OR L1_DoubleMu_15_7 OR L1_DoubleMu4p5er2p0_SQ_OS_Mass_Min7 OR L1_DoubleMu4p5er2p0_SQ_OS_Mass_7to18 OR L1_DoubleMu8_SQ OR L1_DoubleMu0er1p4_SQ_OS_dEta_Max1p2 OR L1_DoubleMu4er2p0_SQ_OS_dR_Max1p6 OR L1_DoubleMu5_SQ_OS_dR_Max1p6 OR L1_DoubleMu3er2p0_SQ_OS_dR_Max1p6 OR L1_DoubleMu0er1p5_SQ_OS_dEta_Max1p2 OR L1_DoubleMu0er1p4_OQ_OS_dEta_Max1p6 OR L1_DoubleMu0er2p0_SQ_OS_dEta_Max1p5 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2 OR L1_DoubleMu4_SQ_OS_dR_Max1p2 OR L1_DoubleMu0_Upt15_Upt7 OR L1_DoubleMu0_Upt6_IP_Min1_Upt4 OR L1_DoubleMu0_Upt6_SQ_er2p0 OR L1_DoubleMu0_Upt7_SQ_er2p0 OR L1_DoubleMu0_Upt8_SQ_er2p0 OR L1_DoubleMu0er2p0_SQ_dEta_Max1p6 OR L1_DoubleMu0er2p0_SQ_dEta_Max1p5
DST_PFScouting_DoubleMuonVtxMonitorJPsi_v2,HLT-Scouting,Yes,100,ScoutingPFMonitor& ScoutingPFRun3,PhysicsScoutingPFMonitor& ScoutingPF,L1_DoubleMu_12_5 OR L1_DoubleMu_15_7 OR L1_DoubleMu4p5er2p0_SQ_OS_Mass_Min7 OR L1_DoubleMu4p5er2p0_SQ_OS_Mass_7to18 OR L1_DoubleMu8_SQ OR L1_DoubleMu0er1p4_SQ_OS_dEta_Max1p2 OR L1_DoubleMu4er2p0_SQ_OS_dR_Max1p6 OR L1_DoubleMu5_SQ_OS_dR_Max1p6 OR L1_DoubleMu3er2p0_SQ_OS_dR_Max1p6 OR L1_DoubleMu0er1p5_SQ_OS_dEta_Max1p2 OR L1_DoubleMu0er1p4_OQ_OS_dEta_Max1p6 OR L1_DoubleMu0er2p0_SQ_OS_dEta_Max1p5 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2 OR L1_DoubleMu4_SQ_OS_dR_Max1p2 OR L1_DoubleMu0_Upt15_Upt7 OR L1_DoubleMu0_Upt6_IP_Min1_Upt4 OR L1_DoubleMu0_Upt6_SQ_er2p0 OR L1_DoubleMu0_Upt7_SQ_er2p0 OR L1_DoubleMu0_Upt8_SQ_er2p0 OR L1_DoubleMu0er2p0_SQ_dEta_Max1p6 OR L1_DoubleMu0er2p0_SQ_dEta_Max1p5
DST_PFScouting_DoubleMuonVtxMonitorZ_v2,HLT-Scouting,Yes,2,ScoutingPFMonitor& ScoutingPFRun3,PhysicsScoutingPFMonitor& ScoutingPF,L1_DoubleMu_12_5 OR L1_DoubleMu_15_7 OR L1_DoubleMu4p5er2p0_SQ_OS_Mass_Min7 OR L1_DoubleMu4p5er2p0_SQ_OS_Mass_7to18 OR L1_DoubleMu8_SQ OR L1_DoubleMu0er1p4_SQ_OS_dEta_Max1p2 OR L1_DoubleMu4er2p0_SQ_OS_dR_Max1p6 OR L1_DoubleMu5_SQ_OS_dR_Max1p6 OR L1_DoubleMu3er2p0_SQ_OS_dR_Max1p6 OR L1_DoubleMu0er1p5_SQ_OS_dEta_Max1p2 OR L1_DoubleMu0er1p4_OQ_OS_dEta_Max1p6 OR L1_DoubleMu0er2p0_SQ_OS_dEta_Max1p5 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2 OR L1_DoubleMu4_SQ_OS_dR_Max1p2 OR L1_DoubleMu0_Upt15_Upt7 OR L1_DoubleMu0_Upt6_IP_Min1_Upt4 OR L1_DoubleMu0_Upt6_SQ_er2p0 OR L1_DoubleMu0_Upt7_SQ_er2p0 OR L1_DoubleMu0_Upt8_SQ_er2p0 OR L1_DoubleMu0er2p0_SQ_dEta_Max1p6 OR L1_DoubleMu0er2p0_SQ_dEta_Max1p5
DST_PFScouting_DoubleEG_v8,EXO& HLT-Scouting,Yes,1,ScoutingPFRun3,ScoutingPF,L1_DoubleEG_LooseIso16_LooseIso12_er1p5 OR L1_DoubleEG_LooseIso18_LooseIso12_er1p5 OR L1_DoubleEG_LooseIso20_LooseIso12_er1p5 OR L1_DoubleEG_LooseIso22_LooseIso12_er1p5 OR L1_DoubleEG15_11_er1p2_dR_Max0p6 OR L1_DoubleEG16_11_er1p2_dR_Max0p6 OR L1_DoubleEG17_11_er1p2_dR_Max0p6
DST_PFScouting_JetHT_v8,EXO& HLT-Scouting,Yes,1,ScoutingPFRun3,ScoutingPF,L1_HTT200er OR L1_HTT255er OR L1_HTT280er OR L1_HTT320er OR L1_HTT360er OR L1_HTT400er OR L1_HTT450er OR L1_ETT2000 OR L1_SingleJet180 OR L1_SingleJet200 OR L1_DoubleJet30er2p5_Mass_Min250_dEta_Max1p5 OR L1_DoubleJet30er2p5_Mass_Min300_dEta_Max1p5 OR L1_DoubleJet30er2p5_Mass_Min330_dEta_Max1p5
DST_PFScouting_AXOVLoose_v6,EXO& HLT-Scouting,Yes,1,ScoutingPFRun3,ScoutingPF,L1_AXO_VLoose
DST_PFScouting_AXOLoose_v6,EXO& HLT-Scouting,Yes,1,ScoutingPFRun3,ScoutingPF,L1_AXO_Loose
DST_PFScouting_AXOMedium_v2,EXO& HLT-Scouting,Yes,1,ScoutingPFRun3,ScoutingPF,L1_AXO_Medium
DST_PFScouting_AXOTight_v8,EXO& HLT-Scouting,Yes,1,ScoutingPFRun3,ScoutingPF,L1_AXO_Tight
DST_PFScouting_AXOVTight_v6,EXO& HLT-Scouting,Yes,1,ScoutingPFRun3,ScoutingPF,L1_AXO_VTight
HLT_MonitorL1TPureRate_AXO_v1,TSG,Yes,1,,,
DST_PFScouting_CICADAVLoose_v4,EXO& HLT-Scouting,Yes,1,ScoutingPFRun3,ScoutingPF,L1_CICADA_VLoose
DST_PFScouting_CICADALoose_v4,EXO& HLT-Scouting,Yes,1,ScoutingPFRun3,ScoutingPF,L1_CICADA_Loose
DST_PFScouting_CICADAMedium_v4,EXO& HLT-Scouting,Yes,1,ScoutingPFRun3,ScoutingPF,L1_CICADA_Medium
DST_PFScouting_CICADATight_v4,EXO& HLT-Scouting,Yes,1,ScoutingPFRun3,ScoutingPF,L1_CICADA_Tight
DST_PFScouting_CICADAVTight_v4,EXO& HLT-Scouting,Yes,1,ScoutingPFRun3,ScoutingPF,L1_CICADA_VTight
HLT_MonitorL1TPureRate_CICADA_v1,TSG,Yes,1,,,
DST_PFScouting_SingleMuon_v8,BPH& HLT-Scouting,Yes,1,ScoutingPFRun3,ScoutingPF,L1_SingleMu5_BMTF OR L1_SingleMu11_SQ14_BMTF OR L1_SingleMu13_SQ14_BMTF
DST_PFScouting_SinglePhotonEB_v5,EGM& EXO& HLT-Scouting& SMP,Yes,1,ScoutingPFRun3,ScoutingPF,L1_SingleLooseIsoEG26er2p5 OR L1_SingleLooseIsoEG26er1p5 OR L1_SingleLooseIsoEG28er2p5 OR L1_SingleLooseIsoEG28er2p1 OR L1_SingleLooseIsoEG28er1p5 OR L1_SingleLooseIsoEG30er2p5 OR L1_SingleLooseIsoEG30er1p5 OR L1_SingleEG26er2p5 OR L1_SingleEG38er2p5 OR L1_SingleEG40er2p5 OR L1_SingleEG42er2p5 OR L1_SingleEG45er2p5 OR L1_SingleEG60 OR L1_SingleEG34er2p5 OR L1_SingleEG36er2p5 OR L1_SingleIsoEG24er2p1 OR L1_SingleIsoEG26er2p1 OR L1_SingleIsoEG28er2p1 OR L1_SingleIsoEG30er2p1 OR L1_SingleIsoEG32er2p1 OR L1_SingleIsoEG26er2p5 OR L1_SingleIsoEG28er2p5 OR L1_SingleIsoEG30er2p5 OR L1_SingleIsoEG32er2p5 OR L1_SingleIsoEG34er2p5
DST_PFScouting_ZeroBias_v6,BPH& EXO& HLT-Scouting,Yes,1,ScoutingPFRun3,ScoutingPF,L1_ZeroBias
HLT_TriggersForScoutingPFMonitor_PS125_v1,HLT-Scouting,Yes,125,ScoutingPFMonitor,PhysicsScoutingPFMonitor,
HLT_TriggersForScoutingPFMonitor_PS250_v1,HLT-Scouting,Yes,250,ScoutingPFMonitor,PhysicsScoutingPFMonitor,
HLT_TriggersForScoutingPFMonitor_PS500_v1,HLT-Scouting,Yes,500,ScoutingPFMonitor,PhysicsScoutingPFMonitor,
HLT_TriggersForScoutingPFMonitor_PS1000_v1,HLT-Scouting,Yes,1000,ScoutingPFMonitor,PhysicsScoutingPFMonitor,
