Path,Owners,Online?,PS (HIon),Datasets (SmartPS),Streams,L1T Seed
HLTriggerFirstPath,TSG,Yes,1,,,
Status_OnCPU,TSG,Yes,1,,,
Status_OnGPU,TSG,Yes,1,,,
AlCa_EcalPhiSymForHI_v14,AlCa& ECAL,Yes,6,AlCaPhiSym,ALCAPHISYM,L1_ZeroBias OR L1_AlwaysTrue OR L1_IsolatedBunch OR L1_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC1n_Th1_OR_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC1n_Th2_OR_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC1n_Th3_OR_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC1n_Th4_OR_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC2n_Th1_OR_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC2n_Th2_OR_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC2n_Th3_OR_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC2n_Th4_OR_MinimumBiasHF1_AND_BptxAND
AlCa_EcalEtaEBonlyForHI_v15,AlCa& ECAL,Yes,7,AlCaP0,ALCAP0,L1_MinimumBiasZDC1n_Th1_OR_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC1n_Th2_OR_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC1n_Th3_OR_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC1n_Th4_OR_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC2n_Th1_OR_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC2n_Th2_OR_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC2n_Th3_OR_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC2n_Th4_OR_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC3n_Th1_OR_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC3n_Th2_OR_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC3n_Th3_OR_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC3n_Th4_OR_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC1n_Th1_AND_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC1n_Th2_AND_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC1n_Th3_AND_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC1n_Th4_AND_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasHF1_AND_BptxAND OR L1_AlwaysTrue OR L1_IsolatedBunch OR L1_SingleEG21_BptxAND OR L1_SingleJet56_BptxAND OR L1_SingleEG3 OR L1_SingleEG5 OR L1_SingleEG50 OR L1_SingleEG8er2p5 OR L1_SingleEG10er2p5 OR L1_SingleEG15er2p5 OR L1_SingleEG26er2p5
AlCa_EcalEtaEEonlyForHI_v15,AlCa& ECAL,Yes,50,AlCaP0,ALCAP0,L1_MinimumBiasZDC1n_Th1_OR_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC1n_Th2_OR_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC1n_Th3_OR_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC1n_Th4_OR_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC2n_Th1_OR_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC2n_Th2_OR_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC2n_Th3_OR_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC2n_Th4_OR_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC3n_Th1_OR_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC3n_Th2_OR_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC3n_Th3_OR_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC3n_Th4_OR_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC1n_Th1_AND_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC1n_Th2_AND_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC1n_Th3_AND_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC1n_Th4_AND_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasHF1_AND_BptxAND OR L1_AlwaysTrue OR L1_IsolatedBunch OR L1_SingleEG21_BptxAND OR L1_SingleJet56_BptxAND OR L1_SingleEG3 OR L1_SingleEG5 OR L1_SingleEG50 OR L1_SingleEG8er2p5 OR L1_SingleEG10er2p5 OR L1_SingleEG15er2p5 OR L1_SingleEG26er2p5
AlCa_EcalPi0EBonlyForHI_v15,AlCa& ECAL,Yes,3,AlCaP0,ALCAP0,L1_MinimumBiasZDC1n_Th1_OR_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC1n_Th2_OR_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC1n_Th3_OR_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC1n_Th4_OR_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC2n_Th1_OR_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC2n_Th2_OR_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC2n_Th3_OR_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC2n_Th4_OR_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC3n_Th1_OR_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC3n_Th2_OR_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC3n_Th3_OR_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC3n_Th4_OR_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC1n_Th1_AND_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC1n_Th2_AND_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC1n_Th3_AND_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC1n_Th4_AND_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasHF1_AND_BptxAND OR L1_AlwaysTrue OR L1_IsolatedBunch OR L1_SingleEG21_BptxAND OR L1_SingleJet56_BptxAND OR L1_SingleEG3 OR L1_SingleEG5 OR L1_SingleEG50 OR L1_SingleEG8er2p5 OR L1_SingleEG10er2p5 OR L1_SingleEG15er2p5 OR L1_SingleEG26er2p5
AlCa_EcalPi0EEonlyForHI_v15,AlCa& ECAL,Yes,7,AlCaP0,ALCAP0,L1_MinimumBiasZDC1n_Th1_OR_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC1n_Th2_OR_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC1n_Th3_OR_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC1n_Th4_OR_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC2n_Th1_OR_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC2n_Th2_OR_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC2n_Th3_OR_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC2n_Th4_OR_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC3n_Th1_OR_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC3n_Th2_OR_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC3n_Th3_OR_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC3n_Th4_OR_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC1n_Th1_AND_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC1n_Th2_AND_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC1n_Th3_AND_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasZDC1n_Th4_AND_MinimumBiasHF1_AND_BptxAND OR L1_MinimumBiasHF1_AND_BptxAND OR L1_AlwaysTrue OR L1_IsolatedBunch OR L1_SingleEG21_BptxAND OR L1_SingleJet56_BptxAND OR L1_SingleEG3 OR L1_SingleEG5 OR L1_SingleEG50 OR L1_SingleEG8er2p5 OR L1_SingleEG10er2p5 OR L1_SingleEG15er2p5 OR L1_SingleEG26er2p5
AlCa_RPCMuonNormalisationForHI_v14,AlCa& GEM& RPC,Yes,10,RPCMonitor,RPCMON,L1_SingleMuOpen_BptxAND
DQM_HIPixelReconstruction_v15,TRK& Tracker,Yes,8000,HIDQMGPUvsCPU,HIDQMGPUvsCPU,L1GlobalDecision
