Path,Emergency,EmittanceScan,2p0E34+ZeroBias+HLTPhysics,2p0E34,1p95E34,1p9E34,1p85E34,1p8E34,1p6E34,1p4E34,2p0E34_OnlyMuons,2p0E34_NoL1CICADA,Backup1,Backup2,HIon,PRef
HLT_HIPuAK4CaloJet100Fwd_v9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIPuAK4CaloJet120Fwd_v9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIGEDPhoton10_v16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIGEDPhoton10_EB_v16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIGEDPhoton10_bkp_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIGEDPhoton20_v16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIGEDPhoton20_EB_v16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIGEDPhoton20_bkp_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIGEDPhoton30_v16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIGEDPhoton30_EB_v16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIGEDPhoton30_bkp_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIGEDPhoton40_v16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIGEDPhoton40_EB_v16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIGEDPhoton50_v16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIGEDPhoton50_EB_v16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIGEDPhoton60_v16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIGEDPhoton60_EB_v16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
