Path,Emergency,2p0E34_NoScouting,2p0E34_NoLowPtSingleMu,2p0E34_NoLowPtSingleMuScouting,2p0E34+ZeroBias+HLTPhysics,2p0E34,2p0E34_NoAXO,1p8E34,1p8E34_NoAXO,2p0E34_OnlyMuons,2p0E34_NoMuShower,2p0E34_NoEcalTiming,HIon,PRef
HLT_DoublePFJets200_PNetBTag_0p11_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_DoublePFJets350_PNetBTag_0p11_v2,0,7,7,7,7,7,7,7,7,0,7,7,1,0
HLT_DoublePFJets116MaxDeta1p6_PNet2BTag_0p11_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_DoublePFJets128MaxDeta1p6_PNet2BTag_0p11_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Photon300_NoHE_v21,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Mu8_TrkIsoVVL_v20,0,4,4,4,4,4,4,4,4,4,4,4,1,0
HLT_Mu8_DiEle12_CaloIdL_TrackIdL_DZ_v26,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Mu8_DiEle12_CaloIdL_TrackIdL_v26,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Mu8_Ele8_CaloIdM_TrackIdM_Mass8_PFHT350_DZ_v27,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Mu8_Ele8_CaloIdM_TrackIdM_Mass8_PFHT350_v27,0,5,5,5,5,5,5,5,5,0,5,5,1,0
HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v21,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_PFDiJet30_v9,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_CaloDiJet30_v9,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v19,0,16,16,16,16,16,16,16,16,0,16,16,1,0
HLT_Mu17_TrkIsoVVL_v21,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Mu19_TrkIsoVVL_v12,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_BTagMu_AK4DiJet20_Mu5_v21,0,8,8,8,8,8,8,8,8,0,8,8,1,0
HLT_BTagMu_AK4DiJet40_Mu5_v21,0,2,2,2,2,2,2,2,2,0,2,2,1,0
HLT_BTagMu_AK4DiJet70_Mu5_v21,0,2,2,2,2,2,2,2,2,0,2,2,1,0
HLT_BTagMu_AK4DiJet110_Mu5_v21,0,2,2,2,2,2,2,2,2,0,2,2,1,0
HLT_BTagMu_AK4DiJet170_Mu5_v20,0,2,2,2,2,2,2,2,2,0,2,2,1,0
HLT_BTagMu_AK4Jet300_Mu5_v20,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_BTagMu_AK8DiJet170_Mu5_v17,0,4,4,4,4,4,4,4,4,0,4,4,1,0
HLT_BTagMu_AK8Jet170_DoubleMu5_v10,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_BTagMu_AK8Jet300_Mu5_v20,0,2,2,2,2,2,2,2,2,0,2,2,1,0
HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL_DZ_v27,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL_v27,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_DZ_v23,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v15,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v15,0,16,16,16,16,16,16,16,16,0,16,16,1,0
HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v23,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Mu12_IsoVVL_PFHT150_PNetBTag0p53_v1,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Photon33_v13,0,32,32,32,32,32,32,32,32,0,32,32,1,0
HLT_Photon50_v21,0,6144,6144,6144,6144,6144,6144,6144,6144,0,6144,6144,1,0
HLT_Photon75_v21,0,512,512,512,512,512,512,512,512,0,512,512,1,0
HLT_Photon90_v21,0,512,512,512,512,512,512,512,512,0,512,512,1,0
HLT_Photon120_v21,0,128,128,128,128,128,128,128,128,0,128,128,1,0
HLT_Photon150_v15,0,128,128,128,128,128,128,128,128,0,128,128,1,0
HLT_Photon175_v23,0,64,64,64,64,64,64,64,64,0,64,64,1,0
HLT_Photon200_v22,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Photon50EB_v2,0,256,256,256,256,256,256,256,256,0,256,256,256,0
HLT_Photon30EB_TightID_TightIso_v9,0,6,6,6,6,6,6,6,6,0,6,6,1,0
HLT_Photon50EB_TightID_TightIso_PFJet30_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Photon50EB_TightID_TightIso_CaloJet30_v1,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Photon50EB_TightID_TightIso_AK8PFJet30_v1,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Photon50EB_TightID_TightIso_AK8CaloJet30_v1,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Photon50EB_TightID_TightIso_v6,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Photon55EB_TightID_TightIso_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Photon75EB_TightID_TightIso_v6,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Photon90EB_TightID_TightIso_v6,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Photon110EB_TightID_TightIso_v10,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Photon110EB_TightID_TightIso_PFJet30_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Photon110EB_TightID_TightIso_CaloJet30_v1,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Photon110EB_TightID_TightIso_AK8PFJet30_v1,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Photon110EB_TightID_TightIso_AK8CaloJet30_v1,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Photon100EBHE10_v10,0,32,32,32,32,32,32,32,32,0,32,32,1,0
HLT_Photon50_R9Id90_HE10_IsoM_v22,0,256,256,256,256,256,256,256,256,0,256,256,1,0
HLT_Photon75_R9Id90_HE10_IsoM_v22,0,64,64,64,64,64,64,64,64,0,64,64,1,0
HLT_Photon90_R9Id90_HE10_IsoM_v22,0,32,32,32,32,32,32,32,32,0,32,32,1,0
HLT_Photon120_R9Id90_HE10_IsoM_v22,0,8,8,8,8,8,8,8,8,0,8,8,1,0
HLT_Photon165_R9Id90_HE10_IsoM_v23,0,4,4,4,4,4,4,4,4,0,4,4,1,0
HLT_Diphoton30_22_R9Id_OR_IsoCaloId_AND_HE_R9Id_Mass90_v21,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Diphoton30_22_R9Id_OR_IsoCaloId_AND_HE_R9Id_Mass95_v21,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Photon35_TwoProngs35_v9,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_IsoMu24_TwoProngs35_v9,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Dimuon0_Jpsi_L1_NoOS_v15,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Dimuon0_Jpsi_NoVertexing_NoOS_v15,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Dimuon0_Jpsi_v16,0,16,16,16,16,16,16,16,16,16,16,16,1,0
HLT_Dimuon0_Jpsi_NoVertexing_v16,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Dimuon0_Jpsi_L1_4R_0er1p5R_v15,0,300,300,300,300,300,300,300,300,300,300,300,1,0
HLT_Dimuon0_Jpsi_NoVertexing_L1_4R_0er1p5R_v15,0,300,300,300,300,300,300,300,300,300,300,300,1,0
HLT_Dimuon0_Jpsi3p5_Muon2_v13,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Dimuon0_Upsilon_L1_4p5_v17,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Dimuon0_Upsilon_L1_4p5er2p0_v17,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Dimuon0_Upsilon_L1_4p5er2p0M_v15,0,180,180,180,180,180,180,180,180,180,180,180,1,0
HLT_Dimuon0_Upsilon_NoVertexing_v15,0,180,180,180,180,180,180,180,180,180,180,180,1,0
HLT_Dimuon0_LowMass_L1_0er1p5_v16,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Dimuon0_LowMass_v16,0,3,3,3,3,3,3,3,3,3,3,3,1,0
HLT_Dimuon0_LowMass_L1_4_v16,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Dimuon0_LowMass_L1_TM530_v14,0,20,20,20,20,20,20,20,20,20,20,20,1,0
HLT_Dimuon0_Upsilon_Muon_NoL1Mass_v14,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_TripleMu_5_3_3_Mass3p8_DZ_v16,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_TripleMu_10_5_5_DZ_v18,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_TripleMu_12_10_5_v18,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Tau3Mu_Mu7_Mu1_TkMu1_Tau15_v12,0,10,10,10,10,10,10,10,10,10,10,10,1,0
HLT_Tau3Mu_Mu7_Mu1_TkMu1_Tau15_Charge1_v12,0,10,10,10,10,10,10,10,10,10,10,10,1,0
HLT_Tau3Mu_Mu7_Mu1_TkMu1_IsoTau15_v12,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Tau3Mu_Mu7_Mu1_TkMu1_IsoTau15_Charge1_v12,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_DoubleMu3_DZ_PFMET50_PFMHT60_v18,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_DoubleMu3_DZ_PFMET70_PFMHT70_v18,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_DoubleMu3_DZ_PFMET90_PFMHT90_v18,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_DoubleMu3_Trk_Tau3mu_NoL1Mass_v14,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_DoubleMu4_3_LowMass_SS_v2,0,1,1,1,1,1,1,1,1,1,1,1,1,1
HLT_DoubleMu4_Jpsi_Displaced_v15,0,60,60,60,60,60,60,60,60,60,60,60,1,0
HLT_DoubleMu4_Jpsi_NoVertexing_v15,0,240,240,240,240,240,240,240,240,240,240,240,1,0
HLT_DoubleMu4_JpsiTrkTrk_Displaced_v15,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_DoubleMu4_JpsiTrk_Bc_v8,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_DoubleMu43NoFiltersNoVtx_v12,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_DoubleMu48NoFiltersNoVtx_v12,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Mu43NoFiltersNoVtx_Photon43_CaloIdL_v13,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Mu48NoFiltersNoVtx_Photon48_CaloIdL_v13,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Mu38NoFiltersNoVtxDisplaced_Photon38_CaloIdL_v9,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Mu43NoFiltersNoVtxDisplaced_Photon43_CaloIdL_v9,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Ele30_eta2p1_WPTight_Gsf_CentralPFJet35_EleCleaned_v21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HLT_Ele28_eta2p1_WPTight_Gsf_HT150_v21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HLT_Ele28_HighEta_SC20_Mass55_v21,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Ele15_IsoVVVL_PFHT450_PFMET50_v24,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Ele15_IsoVVVL_PFHT450_v24,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Ele50_IsoVVVL_PFHT450_v24,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Ele15_IsoVVVL_PFHT600_v28,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Mu15_IsoVVVL_PFHT450_PFMET50_v23,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Mu15_IsoVVVL_PFHT450_v23,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Mu50_IsoVVVL_PFHT450_v23,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Mu15_IsoVVVL_PFHT600_v27,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Mu3er1p5_PFJet100er2p5_PFMET80_PFMHT80_IDTight_v10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HLT_Mu3er1p5_PFJet100er2p5_PFMET90_PFMHT90_IDTight_v10,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Mu3er1p5_PFJet100er2p5_PFMET100_PFMHT100_IDTight_v10,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Mu3er1p5_PFJet100er2p5_PFMETNoMu80_PFMHTNoMu80_IDTight_v10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HLT_Mu3er1p5_PFJet100er2p5_PFMETNoMu90_PFMHTNoMu90_IDTight_v10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HLT_Mu3er1p5_PFJet100er2p5_PFMETNoMu100_PFMHTNoMu100_IDTight_v10,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Dimuon10_Upsilon_y1p4_v9,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Dimuon12_Upsilon_y1p4_v10,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Dimuon14_Phi_Barrel_Seagulls_v15,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Dimuon25_Jpsi_v22,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Dimuon14_PsiPrime_v21,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Dimuon14_PsiPrime_noCorrL1_v13,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Dimuon18_PsiPrime_v22,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Dimuon18_PsiPrime_noCorrL1_v14,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Dimuon24_Upsilon_noCorrL1_v14,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Dimuon24_Phi_noCorrL1_v14,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Dimuon25_Jpsi_noCorrL1_v14,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_DiMu4_Ele9_CaloIdL_TrackIdL_DZ_Mass3p8_v25,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_DiMu9_Ele9_CaloIdL_TrackIdL_DZ_v25,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v25,0,2,2,2,2,2,2,2,2,0,2,2,1,0
HLT_DoubleIsoMu20_eta2p1_v15,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_TrkMu12_DoubleTrkMu5NoFiltersNoVtx_v14,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Mu8_v20,0,4,4,4,4,4,4,4,4,4,4,4,1,0
HLT_Mu17_v21,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Mu19_v12,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Mu17_Photon30_IsoCaloId_v14,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Ele8_CaloIdL_TrackIdL_IsoVL_PFJet30_v24,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Ele12_CaloIdL_TrackIdL_IsoVL_PFJet30_v26,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Ele14_eta2p5_IsoVVVL_Gsf_PFHT200_PNetBTag0p53_v1,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Ele23_CaloIdL_TrackIdL_IsoVL_PFJet30_v26,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Ele8_CaloIdM_TrackIdM_PFJet30_v26,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Ele17_CaloIdM_TrackIdM_PFJet30_v24,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v26,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Ele50_CaloIdVT_GsfTrkIdT_PFJet165_v26,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Ele115_CaloIdVT_GsfTrkIdT_v23,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Ele135_CaloIdVT_GsfTrkIdT_v16,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFHT330PT30_QuadPFJet_75_60_45_40_v17,0,128,128,128,128,128,128,128,128,0,128,128,1,0
HLT_PFHT400_SixPFJet32_v17,0,65,65,65,65,65,65,65,65,0,65,65,1,0
HLT_PFHT400_SixPFJet32_PNet2BTagMean0p50_v5,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFHT450_SixPFJet36_v16,0,25,25,25,25,25,25,25,25,0,25,25,1,0
HLT_PFHT450_SixPFJet36_PNetBTag0p35_v5,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFHT400_FivePFJet_120_120_60_30_30_v2,0,40,40,40,40,40,40,40,40,0,40,40,1,1
HLT_PFHT350_v27,0,256,256,256,256,256,256,256,256,0,256,256,1,0
HLT_Photon60_R9Id90_CaloIdL_IsoL_DisplacedIdL_PFHT350_v6,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Photon60_R9Id90_CaloIdL_IsoL_DisplacedIdL_PFHT380_v6,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Photon60_R9Id90_CaloIdL_IsoL_DisplacedIdL_PFHT400_v6,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_ECALHT800_v18,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_DiSC30_18_EIso_AND_HE_Mass70_v22,0,256,256,256,256,256,256,256,256,0,256,256,1,0
HLT_Photon20_HoverELoose_v18,0,2,2,2,2,2,2,2,2,0,2,2,1,0
HLT_Photon30_HoverELoose_v18,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_L1_CDC_SingleMu_3_er1p2_TOP120_DPHI2p618_3p142_v7,0,30,30,30,30,30,30,30,30,30,30,30,0,0
HLT_CDC_L2cosmic_10_er1p0_v8,0,1,1,1,1,1,1,1,1,1,1,1,0,1
HLT_CDC_L2cosmic_5p5_er1p0_v8,0,3,3,3,3,3,3,3,3,3,3,3,0,1
HLT_Ele16_Ele12_Ele8_CaloIdL_TrackIdL_v17,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_VBF_DoubleMediumDeepTauPFTauHPS20_eta2p1_v9,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Photon60_R9Id90_HE10_IsoM_EBOnly_PFJetsMJJ300DEta3_v5,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Photon75_R9Id90_HE10_IsoM_EBOnly_PFJetsMJJ300DEta3_v13,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Mu18_Mu9_SameSign_v12,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_DoubleMu2_Jpsi_DoubleTrk1_Phi1p05_v14,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_DoubleMu3_DCA_PFMET50_PFMHT60_v18,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_DoubleMu3_DCA_PFMET50_PFMHT60_Mass2p0_v2,0,32,32,32,32,32,32,32,32,0,32,32,0,0
HLT_DoubleMu3_DCA_PFMET50_PFMHT60_Mass2p0_noDCA_v2,0,32,32,32,32,32,32,32,32,0,32,32,0,0
HLT_TripleMu_5_3_3_Mass3p8_DCA_v11,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_QuadPFJet103_88_75_15_v13,0,256,256,256,256,256,256,256,256,0,256,256,1,0
HLT_QuadPFJet105_88_76_15_v13,0,512,512,512,512,512,512,512,512,0,512,512,1,0
HLT_QuadPFJet111_90_80_15_v13,0,512,512,512,512,512,512,512,512,0,512,512,1,0
HLT_Diphoton30_18_R9IdL_AND_HE_AND_IsoCaloId_v9,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Diphoton30_18_R9IdL_AND_HE_AND_IsoCaloId_Mass55_v9,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_DoubleMediumDeepTauPFTauHPS35_L2NN_eta2p1_v8,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Ele24_eta2p1_WPTight_Gsf_LooseDeepTauPFTauHPS30_eta2p1_CrossL1_v9,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Ele24_eta2p1_WPTight_Gsf_PNetTauhPFJet30_Tight_eta2p3_CrossL1_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Ele24_eta2p1_WPTight_Gsf_PNetTauhPFJet30_Medium_eta2p3_CrossL1_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Ele24_eta2p1_WPTight_Gsf_PNetTauhPFJet30_Loose_eta2p3_CrossL1_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_IsoMu20_eta2p1_LooseDeepTauPFTauHPS27_eta2p1_CrossL1_v9,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_IsoMu24_eta2p1_LooseDeepTauPFTauHPS180_eta2p1_v9,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_IsoMu24_eta2p1_LooseDeepTauPFTauHPS30_eta2p1_CrossL1_v9,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_IsoMu24_eta2p1_MediumDeepTauPFTauHPS35_L2NN_eta2p1_CrossL1_v9,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_LooseDeepTauPFTauHPS180_L2NN_eta2p1_v9,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFHT330PT30_QuadPFJet_75_60_45_40_TriplePFBTagDeepJet_4p5_v9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HLT_PFHT400_FivePFJet_120_120_60_30_30_PNet2BTag_5p6_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,1
HLT_PFHT400_FivePFJet_120_120_60_30_30_PNet2BTag_4p3_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,1
HLT_QuadPFJet103_88_75_15_PNetBTag_0p4_VBF2_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_QuadPFJet103_88_75_15_PNet2BTag_0p4_0p12_VBF1_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_QuadPFJet105_88_76_15_PNetBTag_0p4_VBF2_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_QuadPFJet105_88_76_15_PNet2BTag_0p4_0p12_VBF1_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_QuadPFJet111_90_80_15_PNetBTag_0p4_VBF2_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_QuadPFJet111_90_80_15_PNet2BTag_0p4_0p12_VBF1_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_PFDiJet30_PFBtagDeepJet_1p5_v9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HLT_PFHT250_QuadPFJet25_v2,0,100,100,100,100,100,100,100,100,0,100,100,100,0
HLT_PFHT250_QuadPFJet25_PNet2BTagMean0p55_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFHT250_QuadPFJet25_PNet1BTag0p20_PNet1Tauh0p50_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFHT250_QuadPFJet30_PNet2BTagMean0p55_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFHT250_QuadPFJet30_PNet1BTag0p20_PNet1Tauh0p50_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFHT280_QuadPFJet30_PNet1BTag0p20_PNet1Tauh0p50_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFHT280_QuadPFJet30_v5,0,100,100,100,100,100,100,100,100,0,100,100,1,0
HLT_PFHT280_QuadPFJet30_PNet2BTagMean0p55_v5,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFHT280_QuadPFJet30_PNet2BTagMean0p60_v5,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFHT280_QuadPFJet35_PNet2BTagMean0p60_v5,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFHT340_QuadPFJet70_50_40_40_PNet2BTagMean0p70_v6,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_PFHT280_v5,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_PFHT280_QuadPFJet30_v5,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_PFHT280_QuadPFJet30_PNet2BTagMean0p55_v5,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_PFDiJet30_PNet2BTagMean0p50_v5,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_QuadPFJet100_88_70_30_v6,0,256,256,256,256,256,256,256,256,0,256,256,1,0
HLT_QuadPFJet105_88_75_30_v5,0,256,256,256,256,256,256,256,256,0,256,256,1,0
HLT_QuadPFJet111_90_80_30_v5,0,256,256,256,256,256,256,256,256,0,256,256,1,0
HLT_QuadPFJet100_88_70_30_PNet1CvsAll0p5_VBF3Tight_v6,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_QuadPFJet105_88_75_30_PNet1CvsAll0p5_VBF3Tight_v6,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_QuadPFJet111_90_80_30_PNet1CvsAll0p6_VBF3Tight_v6,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_AK8PFJet220_SoftDropMass40_v9,0,120,120,120,120,120,120,120,120,0,120,120,1,0
HLT_AK8PFJet220_SoftDropMass40_PNetBB0p06_DoubleAK4PFJet60_30_PNet2BTagMean0p50_v5,0,1,1,1,1,1,1,1,1,0,1,1,1,0
