Path,Emergency,2p0E34_NoScouting,2p0E34_NoLowPtSingleMu,2p0E34_NoLowPtSingleMuScouting,2p0E34+ZeroBias+HLTPhysics,2p0E34,1p8E34,1p6E34,1p4E34,1p3E34,1p2E34,2p0E34_OnlyMuons,2p0E34_NoL1AnomalyML,2p0E34_NoEcalTiming,HIon,PRef
HLT_PPRefDoubleEle15GsfMass50_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_PPRefEle15Ele10Gsf_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_PPRefEle15Ele10GsfMass50_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_PPRefEle10Gsf_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_PPRefEle15Gsf_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_PPRefEle20Gsf_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_PPRefEle30Gsf_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_PPRefEle40Gsf_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_PPRefEle50Gsf_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_PPRefGEDPhoton10_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
HLT_PPRefGEDPhoton10_EB_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
HLT_PPRefGEDPhoton20_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_PPRefGEDPhoton20_EB_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_PPRefGEDPhoton30_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_PPRefGEDPhoton30_EB_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_PPRefGEDPhoton40_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_PPRefGEDPhoton40_EB_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_PPRefGEDPhoton50_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_PPRefGEDPhoton50_EB_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_PPRefGEDPhoton60_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_PPRefGEDPhoton60_EB_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_PPRefDoubleGEDPhoton20_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_PPRefL1DoubleMu0_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_PPRefL1DoubleMu0_SQ_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_PPRefL1DoubleMu0_Open_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HLT_PPRefL1DoubleMu2_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_PPRefL1DoubleMu2_SQ_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_PPRefL1SingleMu0_Cosmics_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_PPRefL1SingleMu7_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
HLT_PPRefL1SingleMu12_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_PPRefL1SingleMu5_Ele20Gsf_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_PPRefL1SingleMu5_GEDPhoton20_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_PPRefL1SingleMu7_Ele20Gsf_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_PPRefL1SingleMu7_GEDPhoton10_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_PPRefL2DoubleMu0_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_PPRefL2DoubleMu0_Open_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HLT_PPRefL2SingleMu7_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
HLT_PPRefL2SingleMu12_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_PPRefL2SingleMu15_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_PPRefL2SingleMu20_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_PPRefL3DoubleMu0_v8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_PPRefL3DoubleMu0_Open_v8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HLT_PPRefL3SingleMu3_v8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250
HLT_PPRefL3SingleMu5_v8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
HLT_PPRefL3SingleMu7_v8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
HLT_PPRefL3SingleMu12_v8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_PPRefL3SingleMu15_v8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_PPRefL3SingleMu20_v8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_PPRefL3SingleMu3_SingleAK4CaloJet40_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_PPRefL3SingleMu3_SingleAK4CaloJet60_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_PPRefL3SingleMu3_SingleAK4CaloJet80_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_PPRefL3SingleMu5_SingleAK4CaloJet40_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_PPRefL3SingleMu5_SingleAK4CaloJet60_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_PPRefL3SingleMu5_SingleAK4CaloJet80_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_PPRefCscCluster_Loose_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
