Path,Emergency,2p0E34_NoScouting,2p0E34_NoLowPtSingleMu,2p0E34_NoLowPtSingleMuScouting,2p0E34+ZeroBias+HLTPhysics,2p0E34,1p8E34,1p6E34,1p4E34,1p3E34,1p2E34,2p0E34_OnlyMuons,2p0E34_NoAXO,2p0E34_NoEcalTiming,HIon,PRef
HLT_DoubleMu3_DoubleEle7p5_CaloIdL_TrackIdL_Upsilon_v14,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Trimuon5_3p5_2_Upsilon_Muon_v15,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_TrimuonOpen_5_3p5_2_Upsilon_Muon_v12,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_DoubleEle25_CaloIdL_MW_v13,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_DoubleEle27_CaloIdL_MW_v13,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_DoubleEle33_CaloIdL_MW_v26,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_DoubleEle24_eta2p1_WPTight_Gsf_v15,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_DoubleEle8_CaloIdM_TrackIdM_Mass8_DZ_PFHT350_v30,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_DoubleEle8_CaloIdM_TrackIdM_Mass8_PFHT350_v30,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Mu27_Ele37_CaloIdL_MW_v15,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Mu37_Ele27_CaloIdL_MW_v15,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Mu37_TkMu27_v15,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_DoubleMu4_3_Bs_v25,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_DoubleMu4_3_Jpsi_v25,0,20,20,20,20,20,20,20,20,20,20,20,20,20,1,0
HLT_DoubleMu4_3_LowMass_v11,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_DoubleMu4_LowMass_Displaced_v11,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Mu0_L1DoubleMu_v11,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Mu4_L1DoubleMu_v11,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1,0
HLT_DoubleMu2_Jpsi_LowPt_v4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_DoubleMu4_3_Photon4_BsToMMG_v10,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_DoubleMu4_3_Displaced_Photon4_BsToMMG_v10,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_DoubleMu3_Trk_Tau3mu_v22,0,20,20,20,20,20,20,20,20,20,20,20,20,20,1,0
HLT_DoubleMu3_TkMu_DsTau3Mu_v14,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_DoubleMu4_Mass3p8_DZ_PFHT350_v18,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_DoubleMu4_MuMuTrk_Displaced_v25,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Mu3_PFJet40_v26,0,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0
HLT_Mu7p5_L2Mu2_Jpsi_v20,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Mu7p5_L2Mu2_Upsilon_v20,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Mu3_L1SingleMu5orSingleMu7_v11,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Mu0_Barrel_v4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
HLT_Mu0_Barrel_L1HP6_v1,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0
HLT_Mu0_Barrel_L1HP7_v1,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0
HLT_Mu0_Barrel_L1HP8_v2,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0
HLT_Mu0_Barrel_L1HP9_v2,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0
HLT_Mu0_Barrel_L1HP10_v4,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0
HLT_Mu0_Barrel_L1HP11_v4,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0
HLT_Mu0_Barrel_L1HP6_IP6_v1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
HLT_Mu6_Barrel_L1HP7_IP6_v1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
HLT_Mu7_Barrel_L1HP8_IP6_v2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
HLT_Mu8_Barrel_L1HP9_IP6_v2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
HLT_Mu9_Barrel_L1HP10_IP6_v4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Mu10_Barrel_L1HP11_IP6_v4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_DoublePhoton33_CaloIdL_v15,0,64,64,64,64,64,64,64,64,64,64,0,64,64,1,0
HLT_DoublePhoton70_v15,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_DoublePhoton85_v23,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_DiEle27_WPTightCaloOnly_L1DoubleEG_v12,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Ele30_WPTight_Gsf_v9,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Ele32_WPTight_Gsf_v23,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Ele35_WPTight_Gsf_v17,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Ele38_WPTight_Gsf_v17,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Ele40_WPTight_Gsf_v17,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Ele32_WPTight_Gsf_L1DoubleEG_v17,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_IsoMu20_v25,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_IsoMu24_v23,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_IsoMu24_eta2p1_v25,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_IsoMu27_v26,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_UncorrectedJetE30_NoBPTX_v12,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_UncorrectedJetE30_NoBPTX3BX_v12,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_UncorrectedJetE60_NoBPTX3BX_v12,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_UncorrectedJetE70_NoBPTX3BX_v12,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_L1SingleMuCosmics_v6,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HLT_L2Mu10_NoVertex_NoBPTX3BX_v12,0,80,80,80,80,80,80,80,80,80,80,0,80,80,1,0
HLT_L2Mu10_NoVertex_NoBPTX_v13,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_L2Mu45_NoVertex_3Sta_NoBPTX3BX_v11,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_L2Mu40_NoVertex_3Sta_NoBPTX3BX_v12,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_L2Mu23NoVtx_2Cha_v8,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_L2Mu23NoVtx_2Cha_CosmicSeed_v8,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_DoubleL2Mu30NoVtx_2Cha_CosmicSeed_Eta2p4_v9,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_DoubleL2Mu30NoVtx_2Cha_Eta2p4_v9,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_DoubleL2Mu50_v9,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_DoubleL2Mu23NoVtx_2Cha_CosmicSeed_v9,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_DoubleL2Mu25NoVtx_2Cha_CosmicSeed_v9,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_DoubleL2Mu25NoVtx_2Cha_CosmicSeed_Eta2p4_v9,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_DoubleL2Mu23NoVtx_2Cha_v9,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_DoubleL2Mu25NoVtx_2Cha_v9,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_DoubleL2Mu25NoVtx_2Cha_Eta2p4_v9,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v24,0,20,20,20,20,20,20,20,20,20,20,20,20,20,1,0
HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v13,0,20,20,20,20,20,20,20,20,20,20,20,20,20,1,0
HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v25,0,20,20,20,20,20,20,20,20,20,20,20,20,20,1,0
HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_DZ_v13,0,20,20,20,20,20,20,20,20,20,20,20,20,20,1,0
HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_Mass8_v15,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_Mass8_PFJet30_v4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_DZ_Mass8_v13,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_Mass3p8_v15,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_Mass8_CaloJet30_v3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_Mass8_AK8PFJet30_v3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_Mass8_AK8CaloJet30_v3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_DZ_Mass3p8_v13,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Mu30_TkMu0_Psi_v11,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Mu30_TkMu0_Upsilon_v11,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Mu25_TkMu0_Phi_v18,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Mu15_v13,0,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0
HLT_Mu20_v22,0,5,5,5,5,5,5,5,5,5,5,5,5,5,1,0
HLT_Mu27_v23,0,500,500,500,500,500,500,500,500,500,500,500,500,500,1,0
HLT_Mu50_v23,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Mu55_v13,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_CascadeMu100_v11,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_HighPtTkMu100_v10,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_DiPFJetAve40_v24,0,25,25,25,25,25,25,25,25,25,25,0,25,25,1,0
HLT_DiPFJetAve60_v24,0,5,5,5,5,5,5,5,5,5,5,0,5,5,1,0
HLT_DiPFJetAve80_v24,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_DiPFJetAve140_v23,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_DiPFJetAve200_v23,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_DiPFJetAve260_v24,0,128,128,128,128,128,128,128,128,128,128,0,128,128,1,0
HLT_DiPFJetAve320_v24,0,48,48,48,48,48,48,48,48,48,48,0,48,48,1,0
HLT_DiPFJetAve400_v24,0,16,16,16,16,16,16,16,16,16,16,0,16,16,1,0
HLT_DiPFJetAve500_v24,0,4,4,4,4,4,4,4,4,4,4,0,4,4,1,0
HLT_DiPFJetAve60_HFJEC_v25,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_DiPFJetAve80_HFJEC_v27,0,2,2,2,2,2,2,2,2,2,2,0,2,2,1,0
HLT_DiPFJetAve100_HFJEC_v27,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_DiPFJetAve160_HFJEC_v26,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_DiPFJetAve220_HFJEC_v26,0,8,8,8,8,8,8,8,8,8,8,0,8,8,1,0
HLT_DiPFJetAve260_HFJEC_v9,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_DiPFJetAve300_HFJEC_v26,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_DiPFJetAve180_PPSMatch_Xi0p3_QuadJet_Max2ProtPerRP_v4,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_AK8PFJet40_v26,0,250,250,250,250,250,250,250,250,250,250,0,250,250,1,0
HLT_AK8PFJet60_v25,0,24,24,24,24,24,24,24,24,24,24,0,24,24,1,0
HLT_AK8PFJet80_v26,0,2,2,2,2,2,2,2,2,2,2,0,2,2,1,0
HLT_AK8PFJet140_v25,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_AK8PFJet200_v25,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_AK8PFJet260_v26,0,128,128,128,128,128,128,128,128,128,128,0,128,128,1,0
HLT_AK8PFJet320_v26,0,48,48,48,48,48,48,48,48,48,48,0,48,48,1,0
HLT_AK8PFJet400_v26,0,16,16,16,16,16,16,16,16,16,16,0,16,16,1,0
HLT_AK8PFJet450_v26,0,8,8,8,8,8,8,8,8,8,8,0,8,8,1,0
HLT_AK8PFJet500_v26,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_AK8PFJet550_v21,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFJet40_v31,0,30,30,30,30,30,30,30,30,30,30,0,30,30,1,0
HLT_PFJet60_v31,0,4,4,4,4,4,4,4,4,4,4,0,4,4,1,0
HLT_PFJet80_v31,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFJet110_v10,0,3,3,3,3,3,3,3,3,3,3,0,3,3,1,0
HLT_PFJet140_v29,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFJet200_v29,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFJet260_v30,0,128,128,128,128,128,128,128,128,128,128,0,128,128,1,0
HLT_PFJet320_v30,0,32,32,32,32,32,32,32,32,32,32,0,32,32,1,0
HLT_PFJet400_v30,0,16,16,16,16,16,16,16,16,16,16,0,16,16,1,0
HLT_PFJet450_v31,0,8,8,8,8,8,8,8,8,8,8,0,8,8,1,0
HLT_PFJet500_v31,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFJet550_v21,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFJetFwd40_v29,0,25,25,25,25,25,25,25,25,25,25,0,25,25,1,0
HLT_PFJetFwd60_v29,0,2,2,2,2,2,2,2,2,2,2,0,2,2,1,0
HLT_PFJetFwd80_v28,0,3,3,3,3,3,3,3,3,3,3,0,3,3,1,0
HLT_PFJetFwd140_v28,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFJetFwd200_v28,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFJetFwd260_v29,0,8,8,8,8,8,8,8,8,8,8,0,8,8,1,0
HLT_PFJetFwd320_v29,0,4,4,4,4,4,4,4,4,4,4,0,4,4,1,0
HLT_PFJetFwd400_v29,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFJetFwd450_v29,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFJetFwd500_v29,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_AK8PFJetFwd40_v25,0,750,750,750,750,750,750,750,750,750,750,0,750,750,1,0
HLT_AK8PFJetFwd60_v24,0,5,5,5,5,5,5,5,5,5,5,0,5,5,1,0
HLT_AK8PFJetFwd80_v24,0,9,9,9,9,9,9,9,9,9,9,0,9,9,1,0
HLT_AK8PFJetFwd140_v24,0,2,2,2,2,2,2,2,2,2,2,0,2,2,1,0
HLT_AK8PFJetFwd200_v24,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_AK8PFJetFwd260_v25,0,8,8,8,8,8,8,8,8,8,8,0,8,8,1,0
HLT_AK8PFJetFwd320_v25,0,4,4,4,4,4,4,4,4,4,4,0,4,4,1,0
HLT_AK8PFJetFwd400_v25,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_AK8PFJetFwd450_v25,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_AK8PFJetFwd500_v25,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFHT180_v27,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFHT250_v27,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFHT370_v27,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFHT430_v27,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFHT510_v27,0,256,256,256,256,256,256,256,256,256,256,0,256,256,1,0
HLT_PFHT590_v27,0,128,128,128,128,128,128,128,128,128,128,0,128,128,1,0
HLT_PFHT680_v27,0,64,64,64,64,64,64,64,64,64,64,0,64,64,1,0
HLT_PFHT780_v27,0,32,32,32,32,32,32,32,32,32,32,0,32,32,1,0
HLT_PFHT890_v27,0,16,16,16,16,16,16,16,16,16,16,0,16,16,1,0
HLT_PFHT1050_v28,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFHT500_PFMET100_PFMHT100_IDTight_v22,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFHT500_PFMET110_PFMHT110_IDTight_v22,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFHT700_PFMET85_PFMHT85_IDTight_v22,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFHT800_PFMET75_PFMHT75_IDTight_v22,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFMET120_PFMHT120_IDTight_v30,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFMET130_PFMHT130_IDTight_v30,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFMET140_PFMHT140_IDTight_v30,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFMET120_PFMHT120_IDTight_PFHT60_v19,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFMETNoMu120_PFMHTNoMu120_IDTight_PFHT60_v19,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFMETTypeOne140_PFMHT140_IDTight_v21,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_PFMETNoMu120_PFMHTNoMu120_IDTight_v30,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
